Date,Doses
2021-01-5,8.35
2021-01-6,8.35
2021-01-7,8.98
2021-01-8,9.52
2021-01-9,10.32
2021-01-10,10.99
2021-01-11,11.80
2021-01-12,12.90
2021-01-13,14.10
2021-01-14,15.45
2021-01-15,16.84
2021-01-16,18.18
2021-01-17,19.04
2021-01-18,19.93
2021-01-19,20.88
2021-01-20,21.85
2021-01-21,22.71
2021-01-22,23.65
2021-01-23,24.54
2021-01-24,25.15
2021-01-25,26
2021-01-26,27.07
2021-01-27,27.95
2021-01-28,29
2021-01-29,30.4
2021-01-30,31.49
2021-01-31,33.71
2021-02-01,34.79
2021-02-02,36.04
2021-02-03,37.32
2021-02-04,38.92
2021-02-05,40.53
2021-02-06,42.48
2021-02-07,43.62
2021-02-08,44.63
2021-02-09,45.77
2021-02-10,47.37
2021-02-11,48.45
2021-02-12,49.56
2021-02-13,50.61
2021-02-14,51.11
2021-02-15,51.43
2021-02-16,52.56
2021-02-17,53.43
2021-02-18,54.33
2021-02-19,55.27
2021-02-20,56.15
2021-02-21,56.16
2021-02-22,56.19
2021-02-23,57.31
2021-02-24,58.25
2021-02-25,59.11
2021-02-26,59.99
2021-02-27,60.82
2021-02-28,60.87
2021-03-01,60.95
2021-03-02,61.62
2021-03-03,62.37
2021-03-04,62.73
2021-03-05,63.04
2021-03-06,63.35
2021-03-07,63.43
2021-03-08,63.57
2021-03-09,63.95
2021-03-10,64.38
2021-03-11,64.78
2021-03-12,65.35
2021-03-13,65.89
2021-03-14,66.13
2021-03-15,66.52
2021-03-16,67.43
2021-03-17,69.06
2021-03-18,70.58
2021-03-19,72.03
2021-03-20,72.61
2021-03-21,73.8
2021-03-22,74.56
2021-03-23,75.61
2021-03-24,76.88
2021-03-25,78.16
2021-03-26,78.86
2021-03-27,80.48
2021-03-28,81.71
2021-03-29,82.24
2021-03-30,83.12
2021-03-31,84.01
2021-04-02,85.85
2021-04-03,86.54
2021-04-04,86.74
2021-04-05,86.92
2021-04-06,87.55
2021-04-07,88.04
2021-04-08,89.88
2021-04-09,90.22
2021-04-10,90.74
2021-04-11,91.05
2021-04-12,91.38
2021-04-13,92.58
2021-04-14,93.98
2021-04-15,94.91
2021-04-16,95.95
2021-04-17,97.08
2021-04-18,97.37
2021-04-19,97.82
2021-04-20,98.97
2021-04-21,100.1
2021-04-22,101.2
2021-04-23,102.19
2021-04-24,103.07
2021-04-25,103.29
2021-04-26,103.68
2021-04-27,104.51
2021-04-28,105.23
2021-04-29,105.82
2021-04-30,106.64
2021-05-01,107.28
2021-05-02,107.53
2021-05-03,107.85
2021-05-04,108.99
2021-05-05,109.55
2021-05-06,110.28
